FOREIGN TRAVEL FOR LEEDS CITY COUNCIL (April 18 to March 19)     ALL COSTS IN GBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAME OF PERSON TRAVELING,JOB TITLE,CITY,COUNTRY,DEPARTURE DATE,RETURN DATE,TOTAL NUMBER OF DAYS AND NIGHTS,REASON FOR VISIT ,CLASS OF FLIGHT i.e business,TRAVEL COSTS                                                                                                                      ,,COST OF ACCOMMODATION ,,EXPENSES - LOCAL TRANSPORT ,,EXPENSES - FOOD & DRINK,,TOTAL COST OF VISIT,TOTAL COSTS TO LCC,TOTAL COSTS TO OTHER ORGANISATIONS (IF KNOWN ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,To LCC,To other,To LCC,To other,To LCC,To other,To LCC,To other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Social Worker,Cork,Ireland,06.09.18,06.09.18,0 nights/1 day,To carry out social care work,economy,222.98,0,0,0,78.59,0,35.2,0,336.77,336.77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Independent Reviewing Officer,Cork,Ireland,06.09.18,06.09.18,0 nights/1 day,To carry out social care work,economy,181.78,0,0,0,78.59,0,35.2,0,295.57,295.57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Programme Project Co-ordinator,Warsaw,Poland,16.09.18,20.09.18,4 nights/5 days,To carry out British Council supported curatorial research ,economy,0,50.38,0,515.86,0,0,0,360,926.24,0,926.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Senior Development Officer ,Santiago de Compostella,Spain,17.09.18,21.09.18,3 nights/4 days,Activage project plenary meeting ,economy,0,167,0,364.52,0,100,0,100,731.52,0,731.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Social Worker,Cork,Ireland,19.09.18,20.09.18,1 night/2 days,To carry out social care work,economy,330.98,0,181.76,0,0,0,70.4,0,583.14,583.14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Advanced Practitioner,Cork,Ireland,19.09.18,20.09.18,1 night/2 days,To carry out social care work,economy,330.98,0,181.76,0,0,0,70.4,0,583.14,583.14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Arts Development Manager,Cascais,Portugal,21.09.18,23.09.18,2 nights/3 days,To meet partners of Light Night at the Lumina Light Festival,budget,0,343.18,0,0,0,0,0,13.73,356.91,0,356.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sue Rumbold,Chief Officer Partnerships and Health,Vienna,Austria,24.09.18,26.09.18,2 nights/3 days,To attend Child in the City World Conference in Vienna as a speaker,economy,366.9,0,239.04,0,76.17,0,0,0,682.11,682.11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Project Support Officer,Terrassa,Spain,26.09.18,30.09.18,4 nights/5 days,To attend a UCLG Pilot Cities meeting,economy,0,121.54,0,260,0,24.51,0,39.36,445.41,0,445.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Senior Traffic Engineer,Kufstein,Austria,28.09.18,01.10.18,3 nights/4 days,To research the WRRC in advance of hosting it in Leeds in 2019,economy,500.02,0,235.2,0,25.42,0,105.18,0,865.82,865.82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Events Manager ,Kufstein,Austria,28.09.18,01.10.18,3 nights/4 days,To research the WRRC in advance of hosting it in Leeds in 2019,economy,318.68,0,235.2,0,25.42,0,91.3,0,670.6,670.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
